id,분류,접수일,만족도,내용,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
1,교환요청,2026-09-15 15:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 1)",-7.010,5.010,-3.267,-4.358,1.083,2.752,-5.221,-1.774
2,결제오류,2026-09-11 16:00:00,1,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 2)",2.839,2.014,-4.214,-3.241,-3.236,-0.990,-0.211,-2.866
3,배송문의,2026-09-16 11:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 3)",1.378,-1.165,2.736,-4.292,4.992,0.697,-1.245,-7.617
4,결제오류,2026-09-14 16:00:00,5,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 4)",2.385,1.129,-3.336,-4.148,-3.053,-0.775,1.087,-3.773
5,배송문의,2026-09-16 21:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 5)",2.148,-1.033,3.185,-4.608,5.923,-0.955,-0.476,-6.784
6,쿠폰문의,2026-09-14 17:00:00,1,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 6)",-2.886,3.588,-0.611,0.869,2.327,5.762,-1.393,-0.304
7,배송문의,2026-09-21 05:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 7)",1.551,-0.457,2.391,-3.212,5.009,-0.859,-0.150,-7.420
8,배송문의,2026-09-07 01:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 8)",1.642,-1.473,1.333,-3.266,6.600,-1.319,-1.238,-7.864
9,결제오류,2026-09-13 17:00:00,1,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 9)",2.439,0.541,-3.453,-4.133,-3.796,-0.056,0.930,-3.872
10,환불요청,2026-09-13 00:00:00,2,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 10)",-2.909,0.686,-2.462,1.632,1.421,3.906,-2.241,4.497
11,교환요청,2026-09-16 17:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 11)",-5.319,5.067,-2.084,-3.968,-0.223,3.273,-4.494,-0.379
12,환불요청,2026-09-02 18:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 12)",-3.212,1.793,-2.387,0.798,0.946,3.432,-3.263,4.597
13,결제오류,2026-09-04 20:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 13)",2.184,1.201,-3.455,-3.556,-2.449,-1.323,1.125,-3.919
14,결제오류,2026-09-19 04:00:00,1,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 14)",2.155,1.048,-3.546,-4.309,-2.609,-1.408,2.381,-3.790
15,교환요청,2026-09-07 18:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 15)",-4.757,5.199,-1.462,-3.336,0.640,2.652,-5.386,-0.874
16,결제오류,2026-09-14 08:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 16)",3.025,2.209,-2.774,-4.656,-3.747,-0.600,1.251,-3.306
17,쿠폰문의,2026-09-14 19:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 17)",-2.720,3.743,-0.203,0.370,2.304,3.158,-1.837,-0.761
18,쿠폰문의,2026-09-04 01:00:00,,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 18)",-2.531,4.059,-1.294,1.016,1.391,5.109,-2.213,-1.083
19,쿠폰문의,2026-09-03 11:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 19)",-3.323,2.749,-1.214,1.006,1.409,4.998,-2.587,-1.076
20,쿠폰문의,2026-09-10 14:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 20)",-2.859,4.214,-1.348,-0.101,2.750,6.015,-1.906,-0.785
21,배송문의,2026-09-15 11:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 21)",1.531,-1.192,2.375,-3.904,5.535,-1.512,-1.273,-7.465
22,배송문의,2026-09-04 07:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 22)",1.512,-1.630,2.349,-4.061,6.750,-1.360,-0.192,-7.924
23,배송문의,2026-09-08 04:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 23)",1.281,-1.278,2.654,-3.908,5.865,-1.174,-1.697,-8.006
24,배송문의,2026-09-05 18:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 24)",1.889,-3.013,1.961,-4.515,6.706,-0.728,-1.268,-7.076
25,결제오류,2026-09-03 00:00:00,1,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 25)",2.435,1.311,-4.901,-3.739,-3.574,-1.018,0.717,-2.751
26,결제오류,2026-09-04 05:00:00,,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 26)",2.378,1.304,-4.095,-3.637,-2.586,-0.407,0.724,-3.479
27,쿠폰문의,2026-09-09 13:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 27)",-2.818,3.909,-0.308,0.461,2.040,4.594,-2.241,-0.685
28,환불요청,2026-09-14 06:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 28)",-3.281,1.143,-1.415,1.531,0.490,3.285,-2.776,3.391
29,환불요청,2026-09-08 16:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 29)",-3.734,0.880,-2.308,1.605,0.881,4.305,-2.285,4.061
30,교환요청,2026-09-21 23:00:00,1,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 30)",-4.445,4.149,-2.110,-4.342,1.496,4.044,-4.373,-1.586
